park_name,postcode,website,staticcaravanparks_url,telephone,no_pitches,pitch_fees,season_pitches_box_found,data_source,county,town,region,region_fallback_used,status,chain
Abbey Farm Holiday Park,L40 5TX,https://www.harrisonholidays.com,https://www.staticcaravanparks.co.uk/parks/lancashire/abbey-farm-caravan-park,01695 572 686,,,False,original 643-park reference table,Lancashire,"West Lancashire, unparished area",North West,no,listings,Harrison Holidays
Abbot's Salford,WR11 8UN,https://allenscaravans.co.uk,https://www.staticcaravanparks.co.uk/parks/warwickshire/abbots-salford-caravan-park,01386 870 244,,,False,original 643-park reference table,Warwickshire,Salford Priors,Central England,no,listings,Allens Caravans
Aber Bay,SY23 3DT,https://www.clarachbay.com,https://www.staticcaravanparks.co.uk/parks/wales/bay-caravan-park,02920 707 512,,,False,original 643-park reference table,Ceredigion,Tirymynach,South Wales,no,listings,Vale Holiday Parks
Aberconwy Resort & Spa,LL32 8GA,https://darwinescapes.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/aberconwy-park-and-country-club,01492 572 002,,,False,original 643-park reference table,Conwy,Conwy,North Wales,no,listings,Darwin Escapes
Addlethorpe Golf & Country Club,PE24 4TG,https://www.coastfields.co.uk,https://www.staticcaravanparks.co.uk/parks/lincolnshire/thorpe-park-holiday-centre,08714 680 496,,,False,original 643-park reference table,Lincolnshire,Addlethorpe,Central England,yes,listings,Coastfields Leisure
Akebar Park,DL8 5LY,http://www.akebarpark.com,https://www.staticcaravanparks.co.uk/parks/yorkshire/akebar-park,01677 450 201,180.0,,False,original 643-park reference table,North Yorkshire,Akebar,Yorkshire and Humber,no,listings,
Alberta Holiday Park,CT5 4BJ,https://www.parkholidays.com,https://www.staticcaravanparks.co.uk/parks/kent/alberta-holiday-park,08458 159771,,,False,original 643-park reference table,Kent,"Canterbury, unparished area",South East,yes,listings,Park Holidays
Allensford Holiday Park,DH8 9BA,http://www.allensfordcaravanpark.com,https://www.staticcaravanparks.co.uk/parks/county-durham/allensford-caravan-and-country-park,07584633 850,89.0,,False,original 643-park reference table,County Durham,"County Durham, unparished area",North East,no,listings,
Alnwick Springs,NE66 2FR,https://alnwicksprings.co.uk,https://www.staticcaravanparks.co.uk/parks/worcestershire/the-springs,01386 861 851,,,False,original 643-park reference table,Northumberland,Denwick,North East,no,listings,
Amble Links,NE65 0SD,https://www.parkleisure.co.uk/amble-links/,https://www.staticcaravanparks.co.uk/parks/northumberland/amble-links-coastal-retreat-holiday-park,0808 231 5572,,,False,original 643-park reference table,Northumberland,Amble by the Sea,North East,yes,listings,Park Leisure
